nom,date,enddate,distance,dplus,dminus,description,region,departement,lat,lng,raceDistances,raceName
Gerstheim Ried and Rock,2024-09-17,2024-09-17,10000,0,,Il va falloir avoir les Rhin solides,Grand Est,Bas-Rhin,48.38069000000001,7.695487,[5000],Course sur route 10 km
La Ronde Cérétane,2024-09-17,2024-09-17,10000,0,,"Ah, qu'est-ce qu'on est Céret, au fond de cette boîte ! ",Occitanie,Pyrénées-Orientales,42.4858211,2.7487593,"[5000, 9000, 4000, 21000]",L'Endiablée 
Semi-Marathon de Marcq-en-Barœul,2024-09-17,2024-09-17,21097,0,,"Tu verras, il fait bon vivre dans le Nord",Hauts-de-France,Nord,50.670368,3.096267,"[5000, 7000]",Semi-Marathon
La Grenobloise,2024-09-17,2024-09-17,4500,0,,,Auvergne-Rhône-Alpes,Isère,45.1906081,5.726845,[8200],"Marche 4,5 km"
La Séméacaise,2024-09-17,2024-09-17,10000,0,,,Occitanie,Hautes-Pyrénées,43.228502,0.104721,[8000],Course sur route 10 km
Trail de Nassandres,2024-09-17,2024-09-17,7000,0,,À quelle heure on court dans l'Eure ? ,Normandie,Eure,49.1282181,0.7338795,[14000],Marche 7 km
10 km de Joinville,2024-09-17,2024-09-17,5000,0,,Joins toi à la fête de Joinville ,Île-de-France,Val-de-Marne,48.821267,2.472043,[10000],Course sur route 5 km
La Barule des Princes d'Orange,2024-09-17,2024-09-17,15000,310,,,Provence-Alpes-Côte d'Azur,Vaucluse,44.1380989,4.807511,[8000],La Barule
Conquer Paris,2024-09-18,2024-09-18,10000,0,,À la conquête de Paris ,Île-de-France,Paris,48.856614,2.3522219,[],Course sur route 10 km
Run in 2 Mure,2024-09-18,2024-09-18,5500,0,,Viens franchir le Mure du son,Auvergne-Rhône-Alpes,Rhône,45.6993054,5.0171093,"[21000, 10000]","Course sur route 5,5 km"
Kilomètre vertical du Mirantin,2024-09-18,2024-09-18,2700,1000,,,Auvergne-Rhône-Alpes,Savoie,45.7171049,6.574292,[],KM Vertical du Mirantin
Semi-marathon d’Orange,2024-09-18,2024-09-18,21097,0,,Pas besoin de te presser !,Provence-Alpes-Côte d'Azur,Vaucluse,44.1380989,4.807511,[10300],Semi-marathon d'orange
Marathon Perros-Guirec Paimpol,2024-09-18,2024-09-18,42195,569,,"Inclusif, convivial et fédérateur ! ",Bretagne,Côtes-d'Armor,48.7770547,-3.046127,[10000],Marathon relais à 2
Ronde Pédestre de Cornillon-Confoux,2024-09-18,2024-09-18,11200,0,,C'est pas le moment de bailler aux corneilles,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,43.562723,5.071422399999999,[],"Course sur route 11,2 km"
5 km de Porto-Vecchio,2024-09-18,2024-09-18,5000,0,,Découvrir l'île de Beauté à grandes foulées,Corse,Corse-du-Sud,41.58073419999999,9.2782497,[],Course sur route 5 km
10 km et Semi-marathon de Toulouse,2024-09-19,2024-09-19,21097,0,,To loose ou tu win ?,Occitanie,Haute-Garonne,43.598264,1.4092542,"[15000, 10000]",Semi-Marathon
Belle-Île en Trail,2024-09-21,2024-09-21,9000,130,,Tr(ès)ail Belle-île en mer ,Bretagne,Morbihan,47.347009,-3.156406,"[32000, 45000, 81000, 19000]",La course du Sémaphore
